id,name,price,description
41,Mitsubishi,71691.08,Front-line contextually-based paradigm
42,Toyota,76336.8,User-centric value-added portal
43,Buick,18059.82,Customer-focused actuating encoding
44,Ford,58679.61,Digitized leading edge throughput
45,Chevrolet,97328.44,Mandatory executive pricing structure
46,Mazda,77268.26,Fundamental neutral project
47,Subaru,34587.57,Diverse 6th generation instruction set
48,Audi,5434.5,Versatile next generation projection
49,Porsche,23389.8,Synergized multimedia array
50,Pontiac,28929.76,Programmable optimizing matrices
51,Lincoln,5767.19,Centralized responsive forecast
52,Dodge,61433.31,Fundamental full-range project
53,Morgan,49175.21,Multi-channelled bandwidth-monitored knowledge user
54,Suzuki,77039.2,Profound 3rd generation time-frame
55,Ford,58852.15,Reactive stable alliance
56,Mercedes-Benz,24209.51,Secured 24/7 strategy
57,Lexus,94623.88,Down-sized logistical matrices
58,Plymouth,69728.48,Enhanced eco-centric moderator
59,Toyota,96440.46,Customer-focused actuating software
60,Nissan,98354.78,Versatile zero tolerance matrix
61,Nissan,25567.44,Realigned fault-tolerant product
62,Volkswagen,68611.99,Multi-layered directional migration
63,Suzuki,44519.42,Multi-lateral attitude-oriented open system
64,Buick,21484.63,Face to face real-time hub
65,Mercury,23339.23,Face to face explicit capability
66,Toyota,33506.2,Stand-alone multi-tasking definition
67,Mitsubishi,68469.71,Distributed clear-thinking solution
68,Pontiac,57152.95,Sharable encompassing adapter
69,Chrysler,41939.22,Right-sized web-enabled moderator
70,BMW,26284.26,Right-sized heuristic emulation
71,GMC,8742.48,Robust bottom-line concept
72,Dodge,8741.25,User-centric context-sensitive throughput
73,Chrysler,41526.85,Profit-focused optimal intranet
74,Ram,29324.49,Secured solution-oriented middleware
75,Suzuki,17162.91,Decentralized zero defect hub
76,Kia,42771.38,Inverse empowering capability
77,GMC,47341.36,Down-sized object-oriented budgetary management
78,BMW,57942.57,Upgradable multi-tasking matrix
79,Dodge,34812.46,Fundamental bottom-line solution
80,Lexus,59819.14,Integrated stable protocol
81,Nissan,83597.52,Realigned motivating protocol
82,Jeep,89128.16,Cloned attitude-oriented support
83,Hyundai,38639.13,Versatile optimal concept
84,Mercedes-Benz,17739.55,Persistent interactive project
85,Mazda,8129.39,Pre-emptive asymmetric toolset
86,Buick,88586.97,Triple-buffered local projection
87,Volkswagen,88238.49,Vision-oriented fresh-thinking service-desk
88,Mercury,96968.39,Diverse zero defect architecture
89,Mercury,90411.41,Digitized system-worthy process improvement
90,Chevrolet,53995.85,Operative bi-directional frame
91,Chevrolet,16902.33,Progressive motivating paradigm
92,Suzuki,19070.98,Focused human-resource initiative
93,Audi,4429.79,Future-proofed composite productivity
94,Pontiac,10367.7,Enhanced homogeneous artificial intelligence
95,Chevrolet,62294.46,Monitored multi-state encoding
96,Dodge,7812.8,Robust systematic protocol
97,Porsche,66109.69,Operative grid-enabled productivity
98,Mazda,51196.93,Universal 24 hour architecture
99,Mitsubishi,39928.63,Multi-lateral 24 hour framework
100,Porsche,2291.05,Integrated methodical focus group
101,Chevrolet,46348.98,Optimized attitude-oriented analyzer
102,Dodge,93555.66,Re-engineered content-based frame
103,Mercedes-Benz,84023.98,Fundamental motivating forecast
104,Pontiac,4563.18,Diverse local policy
105,Toyota,61234.11,Face to face bottom-line encryption
106,Volvo,91275.99,Devolved eco-centric application
107,Rolls-Royce,53009.03,Public-key even-keeled productivity
108,Hyundai,27731.32,Polarised intangible Graphical User Interface
109,Subaru,10327.49,Versatile didactic core
110,Toyota,50648.38,Switchable discrete conglomeration
111,Toyota,30584.37,Balanced real-time neural-net
112,Dodge,27900.76,Persevering well-modulated methodology
113,Ford,67837.38,Optional web-enabled support
114,Mercury,60913.6,De-engineered mobile installation
115,Mercedes-Benz,81124.26,Synchronised bottom-line Graphical User Interface
116,Tesla,10945.89,Synergistic static productivity
117,Kia,55190.92,De-engineered next generation policy
118,Infiniti,40564.26,Universal empowering budgetary management
119,Lexus,67143.0,Stand-alone reciprocal architecture
120,Cadillac,58433.87,Assimilated global success
121,Chrysler,63885.7,Innovative web-enabled solution
122,Volkswagen,73924.6,Intuitive zero defect collaboration
123,Chevrolet,98970.62,Devolved empowering framework
124,Oldsmobile,80069.96,Distributed 24 hour leverage
125,Chevrolet,27515.59,Quality-focused context-sensitive open architecture
126,Buick,82405.82,Virtual multi-tasking open system
127,Pontiac,71882.91,Ameliorated regional process improvement
128,Toyota,29325.87,Decentralized radical concept
129,Toyota,72922.15,Multi-lateral zero defect conglomeration
130,Honda,72468.6,Optimized national ability
131,Cadillac,69137.33,Re-contextualized 24/7 firmware
132,Isuzu,56011.32,Stand-alone asymmetric model
133,Dodge,2601.69,Grass-roots demand-driven intranet
134,Mercury,7363.87,Versatile mobile moratorium
135,Lexus,54301.56,Ameliorated explicit circuit
136,Chevrolet,26855.25,Self-enabling system-worthy analyzer
137,Honda,14176.61,Streamlined content-based analyzer
138,Toyota,30361.48,Visionary actuating monitoring
139,Toyota,17204.94,Customer-focused maximized local area network
140,Jeep,56303.84,Synergized zero administration Graphic Interface
141,Nissan,42386.11,Balanced high-level algorithm
142,Ford,70283.35,Organic encompassing help-desk
143,Honda,4109.39,Right-sized bandwidth-monitored analyzer
144,Isuzu,31246.95,Expanded 24/7 synergy
145,Audi,55295.25,Quality-focused bottom-line hub
146,Dodge,90831.93,Business-focused non-volatile conglomeration
147,Lexus,81534.86,Stand-alone real-time access
148,Ford,37386.24,Quality-focused heuristic Graphical User Interface
149,Land Rover,53100.54,Universal asynchronous moderator
150,Toyota,51197.98,Reactive non-volatile website
151,Suzuki,60774.1,Streamlined systemic superstructure
152,Nissan,59864.5,Organic full-range implementation
153,Mercedes-Benz,90467.72,Reactive background hardware
154,Ford,26155.15,Diverse dynamic Graphic Interface
155,Hyundai,84510.05,Balanced tertiary Graphic Interface
156,Mazda,23837.36,Distributed non-volatile portal
157,Honda,52327.02,Monitored background analyzer
158,Chevrolet,49320.22,User-centric incremental knowledge base
159,Mitsubishi,45589.07,Visionary content-based service-desk
160,Subaru,72809.84,Seamless asymmetric emulation
161,Infiniti,96990.48,Digitized interactive benchmark
162,Subaru,53783.77,Diverse tertiary support
163,Kia,42491.91,Re-engineered non-volatile info-mediaries
164,Dodge,78422.67,Focused zero administration database
165,Ford,10497.86,Persevering incremental open system
166,Ford,11766.33,Optional bandwidth-monitored neural-net
167,Toyota,47625.32,Profit-focused multi-tasking toolset
168,Buick,70557.4,Digitized secondary benchmark
169,Volkswagen,66943.87,Pre-emptive empowering application
170,Saab,63026.99,Function-based foreground concept
171,Mercedes-Benz,80957.61,Front-line background application
172,Volvo,36958.86,Progressive motivating service-desk
173,Ford,58958.26,Triple-buffered web-enabled orchestration
174,GMC,19888.83,Reduced optimal portal
175,Chevrolet,26857.54,Multi-layered well-modulated groupware
176,Mercedes-Benz,41678.56,Advanced systematic throughput
177,Mercury,95675.08,Re-engineered impactful open architecture
178,Toyota,26055.1,Reverse-engineered secondary attitude
179,Chevrolet,60967.73,Visionary bifurcated Graphical User Interface
180,Buick,14617.41,Cross-platform secondary open architecture
181,Dodge,38289.53,Reduced mission-critical conglomeration
182,Toyota,1669.29,Synergized intangible emulation
183,Ford,89897.0,Managed multi-tasking structure
184,Volkswagen,73078.06,Ergonomic 24 hour data-warehouse
185,Toyota,71876.26,Object-based incremental matrix
186,Nissan,34068.29,Re-engineered well-modulated open architecture
187,Audi,65208.93,Diverse optimizing knowledge user
188,Lexus,22262.19,Automated background methodology
189,Oldsmobile,40597.77,Profound multi-tasking service-desk
190,Cadillac,91007.56,Mandatory human-resource instruction set
191,GMC,82458.43,Secured well-modulated product
192,Acura,87974.04,Multi-channelled system-worthy budgetary management
193,Eagle,293.76,Polarised client-driven forecast
194,Saab,8265.04,Intuitive needs-based database
195,Volkswagen,31173.39,Customizable optimal orchestration
196,Mercedes-Benz,464.51,Automated incremental collaboration
197,Mercury,97308.11,Integrated dedicated functionalities
198,Kia,24644.14,Cross-group bi-directional process improvement
199,Chevrolet,57458.06,Fully-configurable discrete Graphical User Interface
200,Mercedes-Benz,2802.14,Multi-layered impactful approach
201,Lincoln,74108.27,Operative multimedia archive
202,Dodge,41259.54,Cross-group client-server function
203,Porsche,61886.49,Switchable value-added architecture
204,Mazda,33508.93,Multi-tiered systematic functionalities
205,Hyundai,2824.44,Integrated scalable architecture
206,Ferrari,27374.75,Future-proofed local software
207,Nissan,4824.66,Synergized clear-thinking open architecture
208,Audi,23626.8,Distributed systematic moratorium
209,GMC,13262.93,Face to face mission-critical initiative
210,Jeep,86044.4,De-engineered discrete alliance
211,Jaguar,17404.63,Progressive needs-based strategy
212,Lexus,82806.41,Re-contextualized intangible data-warehouse
213,Ford,76487.26,Function-based fault-tolerant pricing structure
214,Lexus,84028.24,Upgradable asynchronous task-force
215,Dodge,82209.85,Synergized 24/7 hub
216,Lexus,91724.66,Decentralized high-level database
217,Lincoln,340.64,Business-focused fault-tolerant paradigm
218,Maserati,23811.9,Persevering leading edge challenge
219,BMW,1452.8,Advanced bandwidth-monitored neural-net
220,Honda,90330.1,Object-based maximized alliance
221,Subaru,65270.2,Intuitive global functionalities
222,Land Rover,48353.25,Monitored contextually-based utilisation
223,Dodge,50811.32,Distributed regional database
224,Mitsubishi,30047.87,Versatile optimizing paradigm
225,Volkswagen,13619.71,Phased empowering extranet
226,Chevrolet,98400.17,Customer-focused actuating initiative
227,Lexus,27717.34,Sharable fault-tolerant paradigm
228,Chevrolet,26736.28,Distributed reciprocal encryption
229,Eagle,45423.12,Organized human-resource process improvement
230,Ford,38169.95,Focused non-volatile model
231,Toyota,1242.99,Phased asymmetric matrix
232,GMC,15395.35,Automated upward-trending model
233,Mazda,86164.16,Visionary bifurcated definition
234,Chevrolet,81135.25,Sharable encompassing capacity
235,Chrysler,93471.71,Grass-roots responsive forecast
236,Porsche,93061.28,Configurable multi-state attitude
237,Chevrolet,74464.81,Synchronised human-resource complexity
238,Hyundai,4327.95,Visionary bifurcated superstructure
239,Buick,38387.05,Monitored next generation portal
240,Volvo,45790.27,Versatile empowering artificial intelligence
241,Subaru,31819.18,Horizontal dynamic middleware
242,Jeep,83201.94,Front-line composite task-force
243,Nissan,10003.7,Future-proofed maximized complexity
244,Chevrolet,53797.69,Distributed transitional projection
245,Volkswagen,66079.85,Realigned 5th generation website
246,Audi,82860.8,Programmable stable info-mediaries
247,Mazda,32968.62,Reactive clear-thinking firmware
248,Volvo,71592.4,Switchable stable data-warehouse
249,Dodge,50030.0,Multi-lateral 3rd generation functionalities
250,Scion,81999.46,Intuitive mobile circuit
251,Chevrolet,23634.8,Re-contextualized 24/7 info-mediaries
252,BMW,53691.77,Phased stable toolset
253,Mercedes-Benz,43018.9,Proactive object-oriented approach
254,Chevrolet,86865.65,Right-sized regional methodology
255,Mitsubishi,36019.25,Customizable coherent function
256,Nissan,71770.79,Devolved multimedia standardization
257,Volkswagen,97897.06,Synergistic uniform paradigm
258,Mercedes-Benz,67006.5,Multi-tiered 24 hour collaboration
259,Aston Martin,7868.79,Realigned disintermediate portal
260,Suzuki,75287.26,Extended fault-tolerant flexibility
261,Nissan,5785.8,Up-sized foreground Graphical User Interface
262,Chevrolet,20772.04,Phased discrete extranet
263,Buick,33864.38,Exclusive web-enabled throughput
264,Audi,23675.65,Adaptive transitional instruction set
265,Ford,43486.25,Re-contextualized optimizing instruction set
266,Toyota,64838.37,Ameliorated coherent secured line
267,GMC,27310.36,Realigned responsive success
268,Buick,2678.67,Pre-emptive clear-thinking implementation
269,Chevrolet,75010.86,Quality-focused systematic flexibility
270,Buick,64953.24,Implemented optimizing product
271,GMC,71407.51,Triple-buffered bi-directional paradigm
272,Infiniti,66840.54,Diverse local extranet
273,Nissan,7426.65,Reverse-engineered asynchronous toolset
274,Mazda,63623.77,Adaptive uniform matrix
275,Pontiac,89452.94,Advanced 3rd generation groupware
276,Mercury,7909.47,Decentralized bottom-line capability
277,GMC,71556.04,Implemented uniform website
278,BMW,49952.47,Digitized exuding access
279,Land Rover,5614.27,Implemented discrete framework
280,GMC,22114.95,Virtual system-worthy support
281,BMW,43483.25,Public-key responsive workforce
282,Nissan,88806.71,Multi-lateral 6th generation open architecture
283,Kia,95314.1,Centralized high-level complexity
284,Cadillac,7940.77,Self-enabling 6th generation throughput
285,Acura,29108.29,Function-based regional monitoring
286,Ford,80034.5,Fundamental discrete migration
287,Ford,61292.22,Cloned 24 hour contingency
288,Honda,64733.75,Multi-layered bifurcated access
289,Mercedes-Benz,97988.19,Vision-oriented 24/7 time-frame
290,Hummer,97778.13,Business-focused radical synergy
291,Mercedes-Benz,15487.51,Advanced analyzing service-desk
292,Volkswagen,86998.52,Ergonomic systemic focus group
293,GMC,27777.95,Organic discrete local area network
294,Volvo,3425.57,Secured multi-tasking attitude
295,Dodge,17507.47,Team-oriented zero defect leverage
296,Toyota,57914.0,Re-engineered client-server attitude
297,Ford,57263.28,Customer-focused asynchronous help-desk
298,Chevrolet,69618.9,Streamlined 6th generation website
299,Pontiac,51629.17,Automated bi-directional array
300,Subaru,34021.02,Devolved grid-enabled utilisation
301,BMW,39417.15,Monitored optimizing implementation
302,Isuzu,52397.48,Total zero defect application
303,Hyundai,23899.64,Stand-alone 6th generation strategy
304,Land Rover,53585.92,Multi-tiered zero tolerance infrastructure
305,Chevrolet,6357.34,Programmable discrete superstructure
306,BMW,28116.17,Grass-roots tertiary matrices
307,Chevrolet,90217.9,Open-architected background framework
308,Dodge,64588.82,Adaptive disintermediate throughput
309,Infiniti,89817.69,Vision-oriented next generation approach
310,Mitsubishi,12227.45,Front-line full-range function
311,Volkswagen,61962.23,Optimized client-server support
312,Suzuki,71052.63,Right-sized systemic matrix
313,Isuzu,99648.96,Enhanced bandwidth-monitored utilisation
314,Nissan,63888.0,Persevering 3rd generation benchmark
315,Lamborghini,3950.57,Configurable 5th generation framework
316,Mazda,12470.74,De-engineered analyzing throughput
317,Buick,98079.72,Open-architected secondary monitoring
318,GMC,47033.83,Function-based zero defect matrices
319,Dodge,68207.41,Enterprise-wide transitional success
320,Mazda,13523.0,Proactive didactic capability
321,Kia,91305.61,Open-source multi-state neural-net
322,GMC,24339.28,Progressive full-range monitoring
323,Isuzu,64594.33,Business-focused national workforce
324,Saturn,86789.96,Total maximized matrices
325,Hyundai,6928.49,Ameliorated mission-critical portal
326,Chevrolet,37687.64,Realigned 24 hour customer loyalty
327,Bentley,937.62,Adaptive transitional analyzer
328,Buick,8743.1,Upgradable analyzing policy
329,Ferrari,64057.23,Enhanced bifurcated emulation
330,GMC,79372.56,Right-sized homogeneous encoding
331,Honda,50146.75,Synchronised responsive database
332,Volkswagen,74372.51,Realigned systematic implementation
333,Ferrari,29219.52,Open-architected secondary encryption
334,Volkswagen,52829.98,Diverse explicit superstructure
335,Volkswagen,90854.34,Upgradable well-modulated array
336,Ford,95877.11,Ameliorated bi-directional initiative
337,Nissan,96117.45,Down-sized real-time capability
338,Lexus,36577.14,Persistent empowering standardization
339,Cadillac,94805.35,Seamless zero administration local area network
340,Saturn,59367.01,Operative real-time open architecture
341,BMW,6784.21,Integrated actuating capability
342,Ford,4914.16,Visionary regional toolset
343,BMW,74764.14,Down-sized client-server secured line
344,Lotus,33198.33,Universal scalable portal
345,GMC,6979.0,Public-key local groupware
346,Audi,16820.41,Team-oriented composite budgetary management
347,Cadillac,73548.9,Operative grid-enabled contingency
348,Cadillac,31236.29,Enhanced holistic capacity
349,Mazda,86036.44,Public-key upward-trending Graphic Interface
350,Ford,19712.23,Sharable tangible algorithm
351,Volkswagen,53182.54,Cloned object-oriented neural-net
352,Chevrolet,98620.35,Re-engineered transitional local area network
353,Dodge,74546.23,Right-sized disintermediate product
354,Lincoln,69665.51,Upgradable 24 hour customer loyalty
355,Ford,7617.85,Optimized methodical open architecture
356,Mercedes-Benz,70633.94,Synergized contextually-based Graphic Interface
357,Ford,56768.5,Synergistic web-enabled forecast
358,Nissan,36676.6,Innovative transitional open system
359,Ford,38329.78,Down-sized demand-driven groupware
360,Lexus,76667.26,Innovative systematic capability
361,GMC,2668.91,Front-line modular orchestration
362,Chevrolet,12133.36,Advanced bottom-line interface
363,Mercedes-Benz,56257.37,Customer-focused 4th generation artificial intelligence
364,Dodge,1051.98,Enhanced responsive middleware
365,Chevrolet,14753.2,Robust optimizing matrices
366,Plymouth,11421.65,Implemented demand-driven database
367,Hyundai,98314.36,User-friendly national open system
368,Acura,89703.58,Cloned static archive
369,Toyota,41790.02,Organic hybrid matrices
370,Buick,22804.3,Realigned systematic middleware
371,BMW,88739.47,Devolved exuding attitude
372,Porsche,71387.75,Re-engineered maximized groupware
373,Jeep,4812.58,Right-sized hybrid challenge
374,Toyota,9374.12,Future-proofed secondary adapter
375,Mercury,52948.74,Phased analyzing array
376,Volkswagen,84186.77,Reduced disintermediate process improvement
377,Hyundai,90203.96,Programmable next generation budgetary management
378,Audi,2896.35,Advanced attitude-oriented conglomeration
379,Mitsubishi,19846.81,Multi-lateral intermediate neural-net
380,Dodge,87521.07,Fully-configurable demand-driven monitoring
381,Mitsubishi,89849.97,Integrated zero defect hardware
382,Subaru,10081.2,Intuitive system-worthy matrix
383,Dodge,43295.83,Re-engineered hybrid local area network
384,Mazda,91972.54,Mandatory actuating extranet
385,Nissan,52789.64,Ameliorated scalable application
386,Ford,46287.32,Monitored 3rd generation protocol
387,Infiniti,76878.65,Reactive encompassing contingency
388,Chevrolet,9958.04,Right-sized bandwidth-monitored migration
389,Volkswagen,43027.72,Decentralized even-keeled leverage
390,Volvo,46776.96,Cloned bifurcated internet solution
391,GMC,6793.46,Visionary uniform methodology
392,Chrysler,4429.55,Switchable asymmetric middleware
393,Saab,67077.23,Extended directional portal
394,Mercury,77197.13,Customizable logistical circuit
395,Chevrolet,12277.48,Cross-platform impactful complexity
396,Saturn,11071.68,Customer-focused cohesive flexibility
397,Ford,45287.07,Streamlined discrete methodology
398,Chevrolet,50908.1,Cross-platform dynamic implementation
399,Toyota,5519.82,Adaptive hybrid Graphic Interface
400,Pontiac,9172.27,Profit-focused system-worthy website
401,Mitsubishi,23178.55,Open-architected systematic application
402,Toyota,22457.06,Virtual dedicated function
403,Chevrolet,9712.99,Synergistic homogeneous open architecture
404,Chevrolet,27093.9,Programmable real-time project
405,GMC,21124.37,Optimized logistical flexibility
406,Nissan,43327.16,Compatible object-oriented attitude
407,Lincoln,91969.43,Persevering contextually-based database
408,Hyundai,7714.94,Automated stable database
409,Chevrolet,34349.87,Profound stable support
410,Volkswagen,4408.46,User-centric client-driven hub
411,Hyundai,24063.61,Visionary tangible intranet
412,Buick,48392.45,Quality-focused bottom-line initiative
413,Citroën,85617.4,Digitized real-time standardization
414,Cadillac,57173.36,Persistent needs-based parallelism
415,Eagle,71371.17,Front-line 5th generation toolset
416,Maybach,8132.23,Intuitive encompassing success
417,Cadillac,39865.73,Pre-emptive cohesive policy
418,Suzuki,78220.09,Pre-emptive value-added concept
419,Volkswagen,78974.44,De-engineered contextually-based framework
420,Infiniti,83858.82,Intuitive intangible emulation
421,Kia,74525.95,Right-sized dynamic collaboration
422,Mercedes-Benz,52488.57,Exclusive next generation portal
423,Pontiac,55075.94,Multi-lateral asynchronous customer loyalty
424,Bentley,5058.21,Multi-channelled eco-centric complexity
425,GMC,31659.81,Proactive zero administration software
426,Ford,13503.62,Organic client-server product
427,Audi,35865.79,Ameliorated client-server parallelism
428,Buick,45247.33,Up-sized contextually-based infrastructure
429,Pontiac,80761.24,Cloned next generation budgetary management
430,Toyota,53342.0,Expanded uniform middleware
431,Pontiac,41077.6,Fully-configurable mission-critical utilisation
432,Nissan,617.06,Synchronised background capability
433,Dodge,50829.81,Integrated incremental groupware
434,Jaguar,69745.86,Programmable client-server website
435,Ford,51407.33,Visionary solution-oriented moratorium
436,Saturn,75019.79,Optimized modular time-frame
437,Mercedes-Benz,50100.44,Synergized high-level adapter
438,Cadillac,8245.06,Seamless contextually-based application
439,Mazda,86909.18,Face to face hybrid benchmark
440,Oldsmobile,40096.01,Inverse systemic structure
441,Subaru,8362.9,Integrated solution-oriented instruction set
442,Mercedes-Benz,46849.33,Networked even-keeled standardization
443,Ford,97355.13,Self-enabling coherent utilisation
444,Oldsmobile,59581.97,Customizable global benchmark
445,Toyota,53107.16,Function-based encompassing neural-net
446,Chevrolet,8309.75,Configurable global artificial intelligence
447,Honda,68831.17,Reduced uniform complexity
448,Chevrolet,14041.68,Optimized secondary array
449,Land Rover,97932.47,Synergized interactive middleware
450,Lincoln,18075.7,Persistent intermediate Graphic Interface
451,Toyota,13614.46,Organized didactic forecast
452,Nissan,70749.71,Persevering bifurcated website
453,Ford,41874.78,Programmable bi-directional algorithm
454,Lexus,41261.91,Intuitive multimedia hierarchy
455,Honda,98907.68,Public-key contextually-based software
456,Ford,7942.49,Versatile optimizing open architecture
457,Saturn,87467.75,Fundamental eco-centric extranet
458,Toyota,8465.29,Persistent discrete focus group
459,Pontiac,70640.8,Multi-channelled real-time toolset
460,Toyota,86989.81,Fully-configurable regional capability
461,Mitsubishi,55978.79,Streamlined attitude-oriented info-mediaries
462,Audi,26125.01,User-centric national definition
463,Honda,37566.85,Cross-group cohesive help-desk
464,GMC,21504.42,Distributed attitude-oriented standardization
465,Ford,80168.27,Synergized coherent help-desk
466,Volkswagen,92016.41,Exclusive disintermediate knowledge user
467,Chevrolet,38157.57,Managed motivating pricing structure
468,BMW,88612.5,Distributed zero defect infrastructure
469,Volvo,19113.36,Distributed dynamic installation
470,Mercury,17967.41,Reduced zero administration info-mediaries
471,Bentley,65777.09,Front-line asynchronous synergy
472,Chevrolet,12368.54,Business-focused transitional concept
473,Aston Martin,6060.99,Decentralized asynchronous success
474,Dodge,92499.28,Optimized multi-tasking info-mediaries
475,Mitsubishi,45723.24,Re-contextualized homogeneous knowledge base
476,Chrysler,23943.98,Centralized asymmetric hierarchy
477,Jaguar,66414.1,Horizontal modular contingency
478,Isuzu,79209.76,De-engineered encompassing throughput
479,Audi,30607.83,Self-enabling user-facing standardization
480,GMC,49217.41,Enhanced composite synergy
481,Bentley,31946.81,Persistent 3rd generation support
482,Ford,84697.43,Advanced bi-directional portal
483,Audi,95346.73,Mandatory heuristic leverage
484,Toyota,11762.24,Assimilated empowering portal
485,Nissan,1890.48,Ergonomic non-volatile strategy
486,Lexus,87161.88,Managed upward-trending challenge
487,Chevrolet,57532.05,Expanded attitude-oriented flexibility
488,MINI,25181.5,Optimized dedicated encoding
489,Scion,21894.46,Adaptive demand-driven core
490,Mazda,54867.09,Triple-buffered composite matrix
491,Dodge,22462.64,Down-sized discrete alliance
492,Ford,83826.86,Programmable client-server methodology
493,Pontiac,61552.39,Secured exuding success
494,Volvo,58584.15,Enterprise-wide bifurcated application
495,Audi,13885.98,Monitored user-facing throughput
496,BMW,17826.97,Sharable national internet solution
497,Toyota,42439.67,Extended optimal challenge
498,Eagle,96438.45,Cross-group impactful forecast
499,Toyota,78653.69,Organic impactful installation
500,Mercedes-Benz,36300.32,Operative bandwidth-monitored throughput
501,Volvo,61985.99,Virtual client-server open system
502,Mazda,97005.63,Proactive high-level local area network
503,GMC,58472.23,Adaptive static customer loyalty
504,Suzuki,11311.12,Polarised next generation customer loyalty
505,Chevrolet,71861.41,Progressive empowering website
506,Mitsubishi,62824.92,Function-based analyzing installation
507,Volvo,40762.21,Focused contextually-based matrix
508,Saturn,76589.58,Assimilated upward-trending matrices
509,Toyota,41862.42,Synergistic mobile system engine
510,Saturn,37800.37,Horizontal solution-oriented function
511,Volkswagen,70207.65,Customer-focused interactive flexibility
512,Porsche,91465.11,Profound multi-tasking flexibility
513,Dodge,4297.7,User-friendly client-server core
514,Volvo,53751.24,Vision-oriented asymmetric neural-net
515,Lexus,78592.85,Persevering uniform benchmark
516,Mazda,83250.12,Organic reciprocal standardization
517,Mazda,42951.36,Public-key heuristic product
518,Land Rover,42526.14,Centralized tangible firmware
519,BMW,42651.33,Optional static application
520,Mitsubishi,30296.09,Front-line heuristic access
521,Audi,75475.24,Monitored cohesive strategy
522,Ford,57924.55,Future-proofed coherent algorithm
523,Bentley,32519.85,Operative demand-driven help-desk
524,Mercedes-Benz,31500.41,Operative zero defect extranet
525,Honda,36536.11,Quality-focused real-time process improvement
526,Jeep,31610.23,Profound upward-trending firmware
527,Lincoln,65227.79,Operative intangible approach
528,Subaru,53970.38,Open-architected leading edge flexibility
529,Toyota,72389.86,Robust 24 hour database
530,Audi,40087.62,Persevering real-time database
531,Oldsmobile,52674.97,Advanced needs-based concept
532,Toyota,43301.74,Cross-group bifurcated matrices
533,Hyundai,2991.7,Centralized object-oriented time-frame
534,Ford,55464.02,Organic bifurcated Graphic Interface
535,Ford,93115.89,Organized disintermediate interface
536,Volkswagen,35135.5,Profound object-oriented system engine
537,Infiniti,40500.9,Open-architected systemic artificial intelligence
538,Chevrolet,2772.07,Cloned even-keeled help-desk
539,Volvo,66091.9,Reduced tertiary installation
540,Mazda,55532.7,De-engineered holistic knowledge base
541,Dodge,61248.25,Programmable interactive emulation
542,Porsche,94224.99,Extended full-range firmware
543,Nissan,49509.22,Multi-layered regional attitude
544,Chevrolet,79850.98,Object-based actuating installation
545,Nissan,24146.9,Reactive actuating array
546,Mercedes-Benz,60638.29,Exclusive actuating superstructure
547,Mazda,81507.82,Open-source even-keeled matrices
548,Ford,27874.57,De-engineered human-resource definition
549,Mazda,72075.96,Business-focused directional functionalities
550,Chevrolet,929.78,Centralized analyzing policy
551,Audi,92077.25,Customizable composite challenge
552,Toyota,62096.85,Robust empowering product
553,Dodge,29525.51,Function-based client-server infrastructure
554,Mercedes-Benz,25890.71,Horizontal static orchestration
555,Mitsubishi,11126.32,Realigned scalable collaboration
556,Suzuki,81490.32,Expanded intermediate knowledge user
